type,ID,CO.Abbrev.,Name.Description,Closest.Segment,Data.Source,Data.Type,Time.Step,Units,Start,End,Meas..Count,Div.,Dist.,County,State,HUC,Longtitude,Latitude,UTM.X,UTM.Y,Data.Store.Input.Type
,9359020,ANIBSICO,"ANIMAS RIVER BELOW SILVERTON, CO",Silverton to Tacoma,USGS,Streamflow,Day,CFS,1991,2017,9517,7,30,SAN JUAN,CO,14080104,-107.668222,37.788333,265044,4185684,HydroBase
,9359500,ANITIMCO,"ANIMAS RIVER AT TALL TIMBER RESORT ABOVE TACOMA,CO",Tacoma to Rockwood Rail Yard,USGS,Streamflow,Day,CFS,1945,2018,7861,7,30,LA PLATA,CO,14080104,-107.776967,37.597417,254838,4164776,HydroBase
,9361500,ANIDURCO,"ANIMAS RIVER AT DURANGO, CO",32nd Street Park to Purple Cliffs,USGS,Streamflow,Day,CFS,1897,2018,39086,7,30,LA PLATA,CO,14080104,-107.880345,37.279169,244629.3,4129732,HydroBase
,7086000,ARKGRNCO,"ARKANSAS RIVER AT GRANITE, CO.",Granite to Numbers Launch Site,DWR,Streamflow,Day,CFS,1910,2017,39265,2,11,CHAFFEE,CO,11020001,-106.265702,39.043002,390466.3,4322310,HydroBase
,7091200,ARKNATCO,"ARKANSAS RIVER NEAR NATHROP, CO",Stone Bridge to Salida,USGS,Streamflow,Day,CFS,1964,2018,12745,2,11,CHAFFEE,CO,11020001,-106.051126,38.652219,408536.1,4278708.1,HydroBase
bad,7094500,ARKPARCO,"ARKANSAS RIVER AT PARKDALE, CO.",Pinnacle Rock to Parkdale Launch,USGS,Streamflow,Day,CFS,1945,2018,18916,2,12,FREMONT,CO,11020001,-105.37397,38.487088,467416.7,4259941.3,HydroBase
,7093700,ARKWELCO,"ARKANSAS RIVER NEAR WELLSVILLE, CO.",Salida to Rincon,DWR,Streamflow,Day,CFS,1961,2017,20607,2,11,CHAFFEE,CO,11020001,-105.939586,38.502515,418073.2,4261990,HydroBase
bad,9050700,BLUDILCO,"BLUE RIVER BELOW DILLON, CO.",Blue River Campground to Columbine Landing,USGS,Streamflow,Day,CFS,1960,2018,21318,5,36,SUMMIT,CO,14010002,-106.066408,39.625542,408475.4,4386740.6,HydroBase
,6716500,CLELAWCO,"CLEAR CREEK NEAR LAWSON, CO",Kermit's to Green Bay Rock,USGS,Streamflow,Day,CFS,1946,2018,25726,1,7,CLEAR CREEK,CO,10190004,-105.626112,39.765821,446372.9,4401953.5,HydroBase
bad,9070500,COLDOTCO,"COLORADO RIVER NEAR DOTSERO, CO",Glenwood,USGS,Streamflow,Day,CFS,1940,2018,28272,5,53,EAGLE,CO,14010001,-107.0777321,39.6445111,321698,4390377,HydroBase
,9058000,COLKRECO,"COLORADO RIVER NEAR KREMMLING, CO",Gore Canyon,USGS,Streamflow,Day,CFS,1904,2018,25488,5,53,GRAND,CO,14010001,-106.440032,40.036652,377142.7,4432818.5,HydroBase
bad,9163500,COLUTACO,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,Ruby Horsethief,USGS,Streamflow,Day,CFS,1951,2018,24485,5,72,MESA,CO,14010005,-109.027055,39.13276,151884,4339237.2,HydroBase
,9166500,DOLDOLCO,"DOLORES RIVER AT DOLORES, CO.",Rico to Big Rock,USGS,Streamflow,Day,CFS,1895,2018,38941,7,71,MONTEZUMA,CO,14030002,-108.497591,37.472493,190684,4153037,HydroBase
,9165000,DOLRICCO,"DOLORES RIVER BELOW RICO, CO.",West Fork to McPhee Res,USGS,Streamflow,Day,CFS,1951,2018,23601,7,71,DOLORES,CO,14030002,-108.060352,37.638884,229964.1,4170156.1,HydroBase
bad,DOLBMCCO,DOLBMCCO,DOLORES RIVER BELOW MCPHEE RESERVOIR,McPhee to Dove Creek Pump Station,DWR,Streamflow,Day,CFS,1990,2017,9862,7,71,MONTEZUMA,CO,14030002,-108.577191,37.575416,184077.5,4164726.3,HydroBase
,9168730,DOLSLICO,"DOLORES RIVER NEAR SLICK ROCK, CO",Slickrock to Bedrock,USGS,Streamflow,Day,CFS,1997,2018,4764,7,71,SAN MIGUEL,CO,14030002,-108.905382,38.044437,157261,4217950,HydroBase
bad,9171100,DOLBENCO,"DOLORES RIVER NEAR BEDROCK, CO.",Bedrock to Gateway,USGS,Streamflow,Day,CFS,1971,2018,17057,4,61,MONTROSE,CO,14030002,-108.833435,38.356934,165014.5,4252378.7,HydroBase
,9180000,,"DOLORES RIVER NEAR CISCO, UT",Gateway to Colorado River,USGS,Streamflow,Day,CFS,1950,2018,24636,NA,99,,UT,14030004,-109.195114,38.797208,135632.5,4302639.1,HydroBase
,9063000,EAGREDCO,"EAGLE RIVER AT RED CLIFF, CO.",Camp Hale to Red Cliff,USGS,Streamflow,Day,CFS,1910,2018,32363,5,37,EAGLE,CO,14010003,-106.366695,39.508319,382504.7,4374079.3,HydroBase
,9064600,EAGMINCO,"EAGLE RIVER NEAR MINTURN, CO",Minturn Town Run,USGS,Streamflow,Day,CFS,1989,2018,10445,5,37,EAGLE,CO,14010003,-106.402529,39.553875,379502.7,4379182.8,HydroBase
,9070000,EAGGYPCO,"EAGLE RIVER BELOW GYPSUM, CO.",Gypsum to Dotsoro,USGS,Streamflow,Day,CFS,1946,2018,26158,5,37,EAGLE,CO,14010003,-106.953655,39.64943,332380.8,4390672.4,HydroBase
bad,9066325,GORREDCO,"GORE CREEK ABV RED SANDSTONE CREEK AT VAIL, CO",East Vail Exit to Vail,USGS,Streamflow,Day,CFS,1999,2018,6796,5,37,EAGLE,CO,14010003,-106.394752,39.641097,380321.2,4388853.1,HydroBase
,9066510,GORCRECO,"GORE CREEK AT MOUTH NEAR MINTURN, CO",Vail to Eagle River,USGS,Streamflow,Day,CFS,1995,2018,8243,5,37,EAGLE,CO,14010003,-106.447808,39.60943,375711.8,4385410.5,HydroBase
,9234500,,"GREEN RIVER NEAR GREENDALE, UT",Flaming Gorge to Lodore,USGS,Streamflow,Day,CFS,1950,2018,24697,NA,99,,UT,14040106,-109.422914,40.908293,127457.8,4538003,HydroBase
